,sharpe,jensen,sortino,ppw,stability
121009.OF,2.43330819926,0.00185364002826,0.482900622721,0.00215237752346,53.0
161902.OF,0.617682786988,,,0.00165900606126,49.0
166003.OF,3.3182221185,0.00143911274384,0.54253481416,0.00164896781611,48.0
040010.OF,1.35565269935,0.00144690521159,,0.00148370918249,51.0
001013.OF,0.218133789409,,,,51.0
371120.OF,-0.0178245962402,,,,45.0
100037.OF,1.81474841295,0.00194354575116,0.244521352605,0.00220713889531,45.0
040012.OF,0.966060603701,,,,
610103.OF,0.96671152574,0.00127857836816,,0.00141107324694,49.0
320008.OF,1.78106564732,0.00196904684759,0.306120715475,0.00239938018793,47.0
290007.OF,0.560187509503,,,,53.0
519680.OF,0.923831714119,0.00168471805674,,0.00225101849247,46.0
020012.OF,0.579517855826,,,,50.0
001001.OF,1.70766133919,,0.316199045241,,54.0
160612.OF,1.06595346832,,,,48.0
100036.OF,1.87561372722,0.00200667213797,0.246313565542,0.00230525045069,46.0
519682.OF,0.854640715811,0.0016173082719,,0.00218715435145,45.0
040013.OF,0.892385367672,,,,
255010.OF,-0.297326403139,,,0.00201472923803,48.0
121001.OF,0.464391762445,0.00204697673986,,0.0021635042088,
519681.OF,0.923831714119,0.00168471805674,,0.00225101849247,45.0
320004.OF,2.63562292898,0.00183976882098,0.363818700036,0.00175671762871,54.0
160602.OF,1.35552008156,,,,51.0
320009.OF,1.68345081541,0.00189990534259,0.27154616302,0.00234233004143,52.0
020019.OF,1.68563604215,0.00146225619967,0.256865217693,0.00146600986491,
371020.OF,0.734533389961,,,,
310378.OF,2.06233163395,0.00161449987112,0.268375868718,0.00147292818618,
070015.OF,1.86404128563,,0.260482244386,,
217011.OF,1.01754252004,0.00237730901648,,0.00244008121287,
630003.OF,2.36548861663,0.00245269435947,0.310609080111,0.00282943901038,
485005.OF,1.56893569141,,0.233736973239,0.00161213651181,
100018.OF,1.67443429714,0.00158607291042,0.227216956372,0.00184333023681,
070016.OF,1.79456909539,,0.250313258954,,
253021.OF,2.48318588435,0.00244252783029,0.333675270787,0.00249402905513,47.0
161010.OF,5.18855078565,0.00251674792417,0.670574749292,0.00270229015515,55.0
519989.OF,1.6647340053,0.00153577909265,0.24734398829,,49.0
